UID|User|AllocTRES|AveDiskRead|AveDiskWrite|CPUTimeRAW|TotalCPU|ElapsedRaw|State|Partition|
||cpu=4,mem=4G,node=4|0|0|0|00:00.031|0|COMPLETED||
1156277|seunguk|billing=4,cpu=4,mem=4G,node=4|||14496|00:38.214|3624|TIMEOUT|compute|
||cpu=1,mem=1G,node=1|1.17M|0.02M|3624|00:00.201|3624|FAILED||
||billing=4,cpu=4,mem=4G,node=4|133.14M|114.93M|14500|00:38.012|3625|COMPLETED||
1156277|seunguk|billing=4,cpu=4,mem=4G,node=4|||28|00:00.070|7|FAILED|compute|
||cpu=1,mem=1G,node=1|0|0|7|00:00.062|7|FAILED||
||billing=4,cpu=4,mem=4G,node=4|0.00M|0|28|00:00.008|7|COMPLETED||
1156277|seunguk|billing=4,cpu=4,mem=4G,node=4|||14476|00:22.530|3619|TIMEOUT|compute|
||cpu=1,mem=1G,node=1|3244.90M|1209.25M|3630|00:22.492|3630|CANCELLED||
||billing=4,cpu=4,mem=4G,node=4|0.07M|0.00M|14476|00:00.008|3619|COMPLETED||
||cpu=4,mem=4G,node=4|0|0|0|00:00.029|0|COMPLETED||
1156277|seunguk|billing=1,cpu=1,mem=1G,node=1|||1832|07:00.690|1832|COMPLETED|compute|
||cpu=1,mem=1G,node=1|15902.85M|12871.89M|1832|07:00.688|1832|COMPLETED||
||billing=1,cpu=1,mem=1G,node=1|0.00M|0.00M|1832|00:00.001|1832|COMPLETED||
1156277|seunguk|billing=1,cpu=1,mem=1G,node=1|||3623|00:10.079|3623|TIMEOUT|compute-hugemem|
||cpu=1,mem=1G,node=1|186.48M|155.97M|3634|00:10.077|3634|CANCELLED||
||billing=1,cpu=1,mem=1G,node=1|0.00M|0.00M|3623|00:00.002|3623|COMPLETED||
1156277|seunguk|billing=1,cpu=1,mem=1G,node=1|||3625|00:00.811|3625|TIMEOUT|compute|
||cpu=1,mem=1G,node=1|22.09M|14.83M|3625|00:00.809|3625|COMPLETED||
||billing=1,cpu=1,mem=1G,node=1|0.00M|0.00M|3625|00:00.001|3625|COMPLETED||
586951|fspencer||||0|00:00:00|0|CANCELLED by 586951|compute|
586951|fspencer||||0|00:00:00|0|CANCELLED by 586951|compute-hugemem|
1106886|willll|billing=185,cpu=40,mem=728G,node=1|||780800|8-11:07:20|19520|COMPLETED|compute-hugemem|
||cpu=40,mem=728G,node=1|550052.86M|100740.35M|780800|8-11:07:20|19520|COMPLETED||
||billing=185,cpu=40,mem=728G,node=1|0.00M|0.00M|780800|00:00.002|19520|COMPLETED||
1049596|jaalto|billing=262,cpu=160,mem=512G,node=4|||719360|3-23:47:12|4496|COMPLETED|compute|
||cpu=40,mem=128G,node=1|127401.81M|96377.08M|179840|1-05:05:23|4496|COMPLETED||
||billing=262,cpu=160,mem=512G,node=4|18141.69M|10903.44M|719360|2-18:41:49|4496|COMPLETED||
1016964|jingyli6|billing=111,cpu=1,gres/gpu:2080ti=2,gres/gpu=2,mem=100G,node=1|||57629|00:51.317|57629|TIMEOUT|gpu-2080ti|
||billing=111,cpu=1,gres/gpu:2080ti=2,gres/gpu=2,mem=100G,node=1|0.00M|0.00M|57629|00:00:00|57629|COMPLETED||
||cpu=1,gres/gpu:2080ti=2,gres/gpu=2,mem=100G,node=1|339.40M|18.84M|57627|00:51.316|57627|COMPLETED||
841398|zheng94|billing=142,cpu=1,gres/gpu:2080ti=3,gres/gpu=3,mem=32G,node=1|||49427|13:39:42|49427|COMPLETED|gpu-2080ti|
||cpu=1,gres/gpu:2080ti=3,gres/gpu=3,mem=32G,node=1|5448.45M|5488.52M|49427|13:39:42|49427|COMPLETED||
||billing=142,cpu=1,gres/gpu:2080ti=3,gres/gpu=3,mem=32G,node=1|0.00M|0.00M|49427|00:00.001|49427|COMPLETED||
841398|zheng94|billing=142,cpu=1,gres/gpu:2080ti=3,gres/gpu=3,mem=32G,node=1|||48866|13:31:41|48866|COMPLETED|gpu-2080ti|
